episode,scenario_id,scenario_type,epsilon,episode_reward,episode_length,done_reason,success
428,2,maze,0.807305,74.0,80,goal2,1
429,2,maze,0.806902,85.7,61,goal2,1
430,1,maze,0.806498,-104.2,214,goal2,1
431,5,maze,0.806095,41.0,110,goal2,1
432,5,maze,0.805692,77.6,68,goal,1
433,2,maze,0.805289,44.5,105,goal,1
434,1,maze,0.804886,58.4,92,goal2,1
435,2,maze,0.804484,54.9,97,goal2,1
436,3,maze,0.804082,51.2,96,goal,1
437,1,maze,0.80368,64.8,84,goal2,1
438,5,maze,0.803278,101.7,61,goal,1
439,5,maze,0.802876,27.5,95,goal2,1
440,2,maze,0.802475,102.2,46,goal2,1
441,3,maze,0.802073,94.1,53,goal2,1
442,2,maze,0.801672,75.2,76,goal2,1
443,6,maze,0.801272,14.8,144,goal2,1
444,0,maze,0.800871,46.0,120,goal,1
445,0,maze,0.80047,-134.4,248,goal,1
446,3,maze,0.80007,96.0,60,goal2,1
447,4,maze,0.79967,30.9,137,goal2,1
448,4,maze,0.79927,-21.5,185,goal,1
449,0,maze,0.798871,-88.5,235,goal,1
450,0,maze,0.798471,2.3,159,goal,1
451,4,maze,0.798072,-265.9,393,goal,1
452,1,maze,0.797673,48.7,91,goal,1
453,4,maze,0.797274,29.0,110,goal2,1
454,2,maze,0.796876,60.8,84,goal2,1
455,1,maze,0.796477,-213.2,324,goal,1
456,2,maze,0.796079,95.5,55,goal2,1
457,0,maze,0.795681,-1.9,133,goal,1
458,1,maze,0.795283,127.5,35,goal2,1
459,2,maze,0.794885,107.7,41,goal2,1
460,2,maze,0.794488,72.1,73,goal,1
461,1,maze,0.794091,84.0,60,goal,1
462,3,maze,0.793694,30.9,97,goal,1
463,6,maze,0.793297,-162.4,288,goal2,1
464,4,maze,0.7929,15.7,141,goal2,1
465,5,maze,0.792504,67.5,95,goal2,1
466,2,maze,0.792107,38.2,106,goal2,1
467,4,maze,0.791711,74.2,106,goal2,1
468,6,maze,0.791316,80.1,73,goal2,1
469,5,maze,0.79092,87.8,74,goal2,1
470,4,maze,0.790524,26.7,171,goal2,1
471,0,maze,0.790129,-74.9,223,goal,1
472,5,maze,0.789734,16.0,120,goal2,1
473,6,maze,0.789339,95.0,70,goal2,1
474,4,maze,0.788945,30.7,111,goal2,1
475,2,maze,0.78855,37.1,103,goal2,1
476,5,maze,0.788156,84.0,60,goal2,1
477,0,maze,0.787762,85.5,75,goal,1
478,1,maze,0.787368,94.9,57,goal2,1
479,2,maze,0.786974,37.7,121,goal,1
480,0,maze,0.786581,-84.6,222,goal,1
481,0,maze,0.786187,17.2,136,goal2,1
482,5,maze,0.785794,-8.0,140,goal2,1
483,4,maze,0.785401,70.3,99,goal2,1
484,1,maze,0.785009,90.9,57,goal2,1
485,2,maze,0.784616,109.1,43,goal2,1
486,2,maze,0.784224,84.9,57,goal,1
487,4,maze,0.783832,86.2,66,goal,1
488,1,maze,0.78344,23.7,121,goal2,1
489,5,maze,0.783048,100.5,45,goal,1
490,2,maze,0.782657,105.9,47,goal2,1
491,1,maze,0.782265,-1.1,117,goal,1
492,5,maze,0.781874,-123.4,258,goal2,1
493,5,maze,0.781483,-57.2,184,goal2,1
494,6,maze,0.781092,65.1,83,goal,1
495,2,maze,0.780702,77.9,67,goal,1
496,4,maze,0.780312,99.9,47,goal,1
497,3,maze,0.779921,-175.1,317,goal2,1
498,2,maze,0.779531,108.5,45,goal2,1
499,6,maze,0.779142,-125.1,297,goal2,1
500,0,maze,0.778752,46.9,97,goal,1
501,0,maze,0.778363,88.9,57,goal,1
502,5,maze,0.777974,129.6,28,goal,1
503,3,maze,0.777585,99.6,48,goal2,1
504,6,maze,0.777196,-20.4,168,goal2,1
505,2,maze,0.776807,109.7,41,goal,1
506,0,maze,0.776419,70.9,77,goal2,1
507,0,maze,0.776031,57.7,101,goal,1
508,2,maze,0.775643,78.5,65,goal2,1
509,6,maze,0.775255,114.6,38,goal2,1
510,1,maze,0.774867,85.0,70,goal2,1
511,5,maze,0.77448,57.3,89,goal2,1
512,2,maze,0.774092,19.3,129,goal,1
513,1,maze,0.773705,-2.7,149,goal,1
514,5,maze,0.773319,61.0,70,goal2,1
515,3,maze,0.772932,-0.8,156,goal2,1
